ID,County,State,TotalPop,Total income,poverty population,poverty percentage,percapitalincome
2728,St. Johns,Florida,226578,8964206245.0,20929.0,9.0,39563.0
2729,St. Joseph,Indiana,268613,6955064323.0,49189.0,18.0,25893.0
2730,St. Joseph,Michigan,60890,1443237932.0,9590.0,16.0,23702.0
2731,St. Landry Parish,Louisiana,83580,1605138032.0,23373.0,28.0,19205.0
2732,St. Lawrence,New York,110817,2610147857.0,23427.0,21.0,23554.0
2733,St. Louis,Minnesota,200294,5847979507.0,31536.0,16.0,29197.0
2734,St. Louis,Missouri,999539,38063216740.0,98207.0,10.0,38081.0
2735,St. Louis city,Missouri,314867,8419099119.0,79494.0,25.0,26739.0
2736,St. Lucie,Florida,298763,7451280242.0,49663.0,17.0,24940.0
2737,St. Martin Parish,Louisiana,53609,1268080442.0,9460.0,18.0,23654.0
2738,St. Mary Parish,Louisiana,52578,1167851884.0,10218.0,19.0,22212.0
2739,St. Mary's,Maryland,110979,4164831505.0,9060.0,8.0,37528.0
2740,St. Tammany Parish,Louisiana,249201,8260791596.0,27011.0,11.0,33149.0
2741,Stafford,Kansas,4251,110273636.0,619.0,15.0,25941.0
2742,Stafford,Virginia,141159,5527469625.0,7189.0,5.0,39158.0
2743,Stanislaus,California,535684,12860410356.0,92279.0,17.0,24007.0
2744,Stanley,South Dakota,2994,98388828.0,174.0,6.0,32862.0
2745,Stanly,North Carolina,60875,1424315364.0,9537.0,16.0,23397.0
2746,Stanton,Kansas,2107,44377634.0,228.0,11.0,21062.0
2747,Stanton,Nebraska,6020,177692200.0,569.0,9.0,29517.0
2748,Stark,Illinois,5551,166579049.0,783.0,14.0,30009.0
2749,Stark,North Dakota,30316,1151334555.0,2470.0,8.0,37978.0
2750,Stark,Ohio,374273,10255349259.0,52306.0,14.0,27401.0
2751,Starke,Indiana,22966,508770667.0,3832.0,17.0,22153.0
2752,Starr,Texas,63420,835030826.0,22188.0,35.0,13167.0
2753,Staunton city,Virginia,24273,669241546.0,3215.0,13.0,27571.0
2754,Ste. Genevieve,Missouri,17882,472402199.0,2996.0,17.0,26418.0
2755,Stearns,Minnesota,155300,4526698087.0,21284.0,14.0,29148.0
2756,Steele,Minnesota,36612,1095786530.0,3661.0,10.0,29930.0
2757,Steele,North Dakota,1915,77517285.0,73.0,4.0,40479.0
2758,Stephens,Georgia,25625,554960413.0,4624.0,18.0,21657.0
2759,Stephens,Oklahoma,44293,1115159759.0,6694.0,15.0,25177.0
2760,Stephens,Texas,9365,215808793.0,1973.0,21.0,23044.0
2761,Stephenson,Illinois,45839,1182271244.0,7425.0,16.0,25792.0
2762,Sterling,Texas,1139,29243825.0,194.0,17.0,25675.0
2763,Steuben,Indiana,34459,927009660.0,3534.0,10.0,26902.0
2764,Steuben,New York,97539,2704878586.0,14209.0,15.0,27731.0
2765,Stevens,Kansas,5741,141747571.0,971.0,17.0,24690.0
2766,Stevens,Minnesota,9759,306619074.0,1518.0,16.0,31419.0
2767,Stevens,Washington,43858,1083589550.0,6858.0,16.0,24707.0
2768,Stewart,Georgia,5832,87212826.0,2485.0,43.0,14954.0
2769,Stewart,Tennessee,13248,300466520.0,2514.0,19.0,22680.0
2770,Stillwater,Montana,9342,295051228.0,604.0,6.0,31583.0
2771,Stoddard,Missouri,29634,642568781.0,4991.0,17.0,21683.0
2772,Stokes,North Carolina,46124,1083907744.0,6402.0,14.0,23500.0
2773,Stone,Arkansas,12443,247378770.0,3018.0,24.0,19881.0
2774,Stone,Mississippi,17981,388672720.0,3147.0,18.0,21616.0
2775,Stone,Missouri,31529,821393584.0,4041.0,13.0,26052.0
2776,Stonewall,Texas,1084,30420292.0,151.0,14.0,28063.0
2777,Storey,Nevada,3891,141585708.0,300.0,8.0,36388.0
2778,Story,Iowa,95888,2626545044.0,26120.0,27.0,27392.0
2779,Strafford,New Hampshire,126552,4117952776.0,14877.0,12.0,32540.0
2780,Stutsman,North Dakota,21058,656620567.0,2332.0,11.0,31182.0
2781,Sublette,Wyoming,10037,322942620.0,748.0,7.0,32175.0
2782,Suffolk,Massachusetts,780685,29689894254.0,158094.0,20.0,38031.0
2783,Suffolk,New York,1497595,60318345581.0,107302.0,7.0,40277.0
2784,Suffolk city,Virginia,88057,2750842641.0,9820.0,11.0,31239.0
2785,Sullivan,Indiana,20900,464803045.0,3304.0,16.0,22239.0
2786,Sullivan,Missouri,6382,135093856.0,1027.0,16.0,21168.0
2787,Sullivan,New Hampshire,43073,1348242644.0,4022.0,9.0,31301.0
2788,Sullivan,New York,75783,2138907504.0,12059.0,16.0,28224.0
2789,Sullivan,Pennsylvania,6192,165452872.0,809.0,13.0,26720.0
2790,Sullivan,Tennessee,156519,4061077035.0,25974.0,17.0,25946.0
2791,Sully,South Dakota,1390,55444320.0,46.0,3.0,39888.0
2792,Summers,West Virginia,13210,266083283.0,2501.0,19.0,20143.0
2793,Summit,Colorado,29722,1105421731.0,3075.0,10.0,37192.0
2794,Summit,Ohio,541318,16674180187.0,74863.0,14.0,30803.0
2795,Summit,Utah,39731,2092658103.0,2980.0,8.0,52671.0
2796,Sumner,Kansas,23336,592572169.0,2761.0,12.0,25393.0
2797,Sumner,Tennessee,175730,5389507383.0,17184.0,10.0,30669.0
