Crash ID,Vehicle ID,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag
1831660,3449622,1,3,8,2,0,0,,,,,,0,0,1,0,0,1,0,,,,
1831660,3449622,,,,,,,,,,,,,,,,,,,1,0,0,1
1831698,,,,,,,,,,,,,,,,,,,,,,,
1831698,3449692,0,1,1,5,0,0,,,,,,0,0,1,0,0,1,1,,,,
1831698,3449692,,,,,,,,,,,,,,,,,,,1,0,0,2
1831698,3449693,0,6,1,5,11,0,,,,,,0,0,1,0,0,1,0,,,,
1831698,3449693,,,,,,,,,,,,,,,,,,,1,0,0,2
1832302,,,,,,,,,,,,,,,,,,,,,,,
1832302,3450860,0,1,8,4,0,0,,,,,,0,1,0,0,1,1,1,,,,
1832302,3450860,,,,,,,,,,,,,,,,,,,1,1,0,1
1832302,3450861,0,6,8,4,11,0,,,,,,0,0,0,0,1,1,0,,,,
1832302,3450861,,,,,,,,,,,,,,,,,,,1,0,0,1
1832348,,,,,,,,,,,,,,,,,,,,,,,
1832348,3450955,0,1,3,7,0,0,,,,,,0,0,1,0,0,1,1,,,,
1832348,3450955,,,,,,,,,,,,,,,,,,,1,0,0,1
1832348,3450956,0,1,1,5,15,0,,,,,,0,0,1,0,0,1,0,,,,
1832348,3450956,,,,,,,,,,,,,,,,,,,1,0,0,2
1833315,,,,,,,,,,,,,,,,,,,,,,,
1833315,3452699,0,3,8,2,19,0,,,62,,,0,0,1,0,0,1,1,,,,
1833315,3452699,,,,,,,,,,,,,,,,,,,1,0,0,1
1833381,,,,,,,,,,,,,,,,,,,,,,,
1833381,3452805,0,1,4,8,0,0,,,,,,0,0,4,0,0,1,1,,,,
1833381,3452805,,,,,,,,,,,,,,,,,,,1,0,0,1
1833381,3452806,0,1,8,4,0,0,,,,,,0,0,1,0,0,1,0,,,,
1833381,3452806,,,,,,,,,,,,,,,,,,,1,0,0,2
1833535,,,,,,,,,,,,,,,,,,,,,,,
1833535,3453091,0,2,4,1,0,0,,,,,,0,0,2,0,0,2,1,,,,
1833535,3453091,,,,,,,,,,,,,,,,,,,1,0,0,1
1833535,3453092,0,1,5,1,0,0,,,13,,,0,0,1,0,0,1,0,,,,
1833535,3453092,,,,,,,,,,,,,,,,,,,1,0,0,1
1833535,3453093,0,1,5,1,22,0,,,13,,,0,0,1,0,0,1,0,,,,
1833535,3453093,,,,,,,,,,,,,,,,,,,1,0,0,2
1833535,3453094,0,1,1,5,22,0,,,,,,0,0,1,0,0,1,0,,,,
1833535,3453094,,,,,,,,,,,,,,,,,,,1,0,0,1
1833678,,,,,,,,,,,,,,,,,,,,,,,
1833678,3453351,0,1,3,7,7,0,,,,,,0,0,1,0,0,1,1,,,,
1833678,3453351,,,,,,,,,,,,,,,,,,,1,0,0,2
